ticker,market_open_epoch,signal_side,outcome,initial_ask_cents,entry_limit_cents,old_reached_40,eventual_winner,observed_limit_touch_60s,observed_strict_trade_through_60s,observed_stop_45_after_touch_60s,lowest_recorded_bid_60s_cents
KXBTC15M-26AUG180015-15,1787025600.0,no,no,49,48,False,True,True,True,True,44
KXBTC15M-26AUG180030-30,1787026500.0,yes,no,50,49,True,False,True,True,True,38
KXBTC15M-26AUG180045-45,1787027400.0,yes,yes,56,55,False,True,False,False,False,55
KXBTC15M-26AUG180100-00,1787028300.0,no,no,51,50,True,True,True,True,True,40
KXBTC15M-26AUG180115-15,1787029200.0,yes,yes,49,48,True,True,True,True,True,44
KXBTC15M-26AUG180130-30,1787030100.0,no,yes,50,49,True,False,True,True,True,37
KXBTC15M-26AUG180145-45,1787031000.0,no,yes,48,47,True,False,True,False,False,46
KXBTC15M-26AUG180200-00,1787031900.0,no,no,52,51,False,True,False,False,False,51
KXBTC15M-26AUG180215-15,1787032800.0,yes,no,50,49,True,False,True,True,True,28
KXBTC15M-26AUG180230-30,1787033700.0,yes,yes,50,49,False,True,True,True,False,46
KXBTC15M-26AUG180245-45,1787034600.0,no,yes,52,51,True,False,True,True,True,24
KXBTC15M-26AUG180300-00,1787035500.0,no,no,52,51,False,True,True,True,True,45
KXBTC15M-26AUG180315-15,1787036400.0,yes,yes,55,54,True,True,True,True,True,41
KXBTC15M-26AUG180330-30,1787037300.0,no,no,52,51,True,True,True,True,True,43
KXBTC15M-26AUG180345-45,1787038200.0,yes,no,50,49,True,False,True,True,True,34
KXBTC15M-26AUG180400-00,1787039100.0,yes,no,51,50,True,False,True,True,True,45
KXBTC15M-26AUG180415-15,1787040000.0,yes,no,51,50,True,False,True,True,True,26
KXBTC15M-26AUG180430-30,1787040900.0,yes,yes,56,55,False,True,False,False,False,55
KXBTC15M-26AUG180445-45,1787041800.0,no,yes,48,47,True,False,True,True,True,41
KXBTC15M-26AUG180500-00,1787042700.0,no,yes,51,50,True,False,False,False,False,50
KXBTC15M-26AUG180515-15,1787043600.0,no,no,65,64,False,True,True,True,False,54
KXBTC15M-26AUG180530-30,1787044500.0,yes,no,50,49,True,False,True,True,True,39
KXBTC15M-26AUG180545-45,1787045400.0,yes,no,52,51,True,False,True,True,True,38
KXBTC15M-26AUG180600-00,1787046300.0,yes,yes,54,53,True,True,True,True,True,43
KXBTC15M-26AUG180615-15,1787047200.0,no,no,52,51,True,True,False,False,False,51
KXBTC15M-26AUG180630-30,1787048100.0,yes,no,51,50,True,False,False,False,False,50
KXBTC15M-26AUG180645-45,1787049000.0,yes,yes,52,51,False,True,False,False,False,51
KXBTC15M-26AUG180700-00,1787049900.0,no,yes,53,52,True,False,True,True,False,50
KXBTC15M-26AUG180715-15,1787050800.0,no,yes,52,51,True,False,False,False,False,51
KXBTC15M-26AUG180730-30,1787051700.0,no,yes,48,47,True,False,True,True,True,26
KXBTC15M-26AUG180745-45,1787052600.0,no,yes,57,56,True,False,False,False,False,56
KXBTC15M-26AUG180800-00,1787053500.0,no,no,52,51,True,True,True,True,True,35
KXBTC15M-26AUG180815-15,1787054400.0,yes,no,41,40,True,False,True,False,True,39
KXBTC15M-26AUG180830-30,1787055300.0,yes,yes,50,49,True,True,True,True,True,35
KXBTC15M-26AUG180845-45,1787056200.0,no,no,51,50,False,True,False,False,False,50
KXBTC15M-26AUG180900-00,1787057100.0,yes,no,49,48,True,False,True,True,True,33
KXBTC15M-26AUG180930-30,1787058900.0,yes,no,50,49,True,False,True,True,True,38
KXBTC15M-26AUG180945-45,1787059800.0,yes,yes,59,58,False,True,True,True,True,45
KXBTC15M-26AUG181000-00,1787060700.0,no,yes,49,48,True,False,True,True,True,38
KXBTC15M-26AUG181015-15,1787061600.0,no,yes,51,50,True,False,True,True,True,35
KXBTC15M-26AUG181030-30,1787062500.0,no,yes,50,49,True,False,True,True,True,42
KXBTC15M-26AUG181045-45,1787063400.0,no,no,57,56,False,True,True,True,True,41
KXBTC15M-26AUG181100-00,1787064300.0,yes,no,43,42,True,False,True,True,True,38
KXBTC15M-26AUG181115-15,1787065200.0,yes,yes,58,57,True,True,False,False,False,57
KXBTC15M-26AUG181130-30,1787066100.0,no,yes,59,58,True,False,True,True,True,40
KXBTC15M-26AUG181145-45,1787067000.0,no,yes,54,53,True,False,True,True,False,49
KXBTC15M-26AUG181200-00,1787067900.0,no,yes,49,48,True,False,True,True,True,42
KXBTC15M-26AUG181215-15,1787068800.0,no,no,38,37,True,True,True,True,True,32
KXBTC15M-26AUG181230-30,1787069700.0,yes,no,53,52,True,False,True,True,True,44
KXBTC15M-26AUG181245-45,1787070600.0,yes,yes,43,42,True,True,False,False,False,42
KXBTC15M-26AUG181300-00,1787071500.0,no,yes,52,51,True,False,True,False,False,50
KXBTC15M-26AUG181315-15,1787072400.0,no,no,53,52,False,True,False,False,False,52
KXBTC15M-26AUG181330-30,1787073300.0,yes,yes,55,54,True,True,True,True,True,41
KXBTC15M-26AUG181345-45,1787074200.0,no,no,49,48,False,True,True,True,True,45
KXBTC15M-26AUG181400-00,1787075100.0,yes,no,49,48,True,False,False,False,False,48
KXBTC15M-26AUG181415-15,1787076000.0,yes,yes,45,44,True,True,True,True,True,39
KXBTC15M-26AUG181430-30,1787076900.0,no,yes,51,50,True,False,True,True,True,42
KXBTC15M-26AUG181445-45,1787077800.0,no,no,57,56,True,True,True,True,False,54
KXBTC15M-26AUG181500-00,1787078700.0,yes,yes,42,41,False,True,False,False,False,41
KXBTC15M-26AUG181515-15,1787079600.0,no,no,58,57,False,True,True,True,False,52
KXBTC15M-26AUG181530-30,1787080500.0,yes,yes,52,51,True,True,True,True,True,34
KXBTC15M-26AUG181545-45,1787081400.0,no,no,61,60,False,True,True,True,False,55
KXBTC15M-26AUG181600-00,1787082300.0,yes,no,46,45,True,False,False,False,False,45
KXBTC15M-26AUG181615-15,1787083200.0,yes,yes,58,57,True,True,False,False,False,55
KXBTC15M-26AUG181630-30,1787084100.0,no,no,51,50,False,True,True,False,False,49
KXBTC15M-26AUG181645-45,1787085000.0,yes,no,52,51,True,False,True,True,True,38
KXBTC15M-26AUG181700-00,1787085900.0,yes,no,51,50,True,False,False,False,False,50
KXBTC15M-26AUG181715-15,1787086800.0,yes,yes,52,51,False,True,True,True,True,42
KXBTC15M-26AUG181730-30,1787087700.0,no,no,62,61,False,True,True,True,False,56
KXBTC15M-26AUG181745-45,1787088600.0,yes,no,50,49,True,False,True,True,False,46
KXBTC15M-26AUG181800-00,1787089500.0,yes,yes,61,60,True,True,True,True,True,41
KXBTC15M-26AUG181815-15,1787090400.0,no,no,57,56,True,True,True,True,False,51
KXBTC15M-26AUG181845-45,1787092200.0,no,yes,43,42,True,False,True,False,True,41
KXBTC15M-26AUG181900-00,1787093100.0,no,no,52,51,False,True,True,True,False,47
KXBTC15M-26AUG181915-15,1787094000.0,yes,yes,45,44,False,True,False,False,False,43
KXBTC15M-26AUG181930-30,1787094900.0,no,yes,49,48,True,False,True,True,True,42
KXBTC15M-26AUG181945-45,1787095800.0,no,yes,52,51,True,False,False,False,False,51
KXBTC15M-26AUG182000-00,1787096700.0,no,no,61,60,False,True,False,False,False,60
KXBTC15M-26AUG182015-15,1787097600.0,yes,no,50,49,True,False,False,False,False,49
KXBTC15M-26AUG182045-45,1787099400.0,no,no,51,50,True,True,True,True,True,38
KXBTC15M-26AUG182100-00,1787100300.0,yes,no,47,46,True,False,True,True,True,36
KXBTC15M-26AUG182130-30,1787102100.0,no,no,52,51,False,True,True,False,False,50
KXBTC15M-26AUG182145-45,1787103000.0,yes,no,59,58,True,False,True,True,False,46
KXBTC15M-26AUG182200-00,1787103900.0,yes,no,57,56,True,False,True,True,False,48
KXBTC15M-26AUG182215-15,1787104800.0,yes,yes,49,48,True,True,True,True,True,34
KXBTC15M-26AUG182230-30,1787105700.0,no,no,55,54,True,True,False,False,False,54
KXBTC15M-26AUG182245-45,1787106600.0,yes,yes,52,51,True,True,True,False,False,50
KXBTC15M-26AUG182300-00,1787107500.0,no,no,47,46,True,True,True,True,True,37
KXBTC15M-26AUG182315-15,1787108400.0,yes,no,47,46,True,False,False,False,False,46
KXBTC15M-26AUG182330-30,1787109300.0,yes,yes,50,49,False,True,True,False,False,48
KXBTC15M-26AUG182345-45,1787110200.0,no,no,53,52,False,True,False,False,False,52
KXBTC15M-26AUG190000-00,1787111100.0,yes,no,51,50,True,False,True,True,True,39
KXBTC15M-26AUG190015-15,1787112000.0,yes,no,51,50,True,False,True,True,True,43
KXBTC15M-26AUG190030-30,1787112900.0,yes,yes,52,51,False,True,False,False,False,51
KXBTC15M-26AUG190045-45,1787113800.0,no,no,51,50,True,True,False,False,False,50
KXBTC15M-26AUG190100-00,1787114700.0,yes,no,51,50,True,False,False,False,False,50
KXBTC15M-26AUG190115-15,1787115600.0,yes,yes,49,48,False,True,True,True,True,41
KXBTC15M-26AUG190130-30,1787116500.0,no,no,54,53,False,True,False,False,False,53
KXBTC15M-26AUG190145-45,1787117400.0,yes,no,43,42,True,False,True,True,True,38
KXBTC15M-26AUG190200-00,1787118300.0,yes,no,52,51,True,False,True,True,True,41
KXBTC15M-26AUG190215-15,1787119200.0,yes,no,65,64,True,False,False,False,False,64
KXBTC15M-26AUG190230-30,1787120100.0,yes,yes,54,53,False,True,False,False,False,53
KXBTC15M-26AUG190300-00,1787121900.0,yes,yes,61,60,False,True,True,False,False,59
KXBTC15M-26AUG190315-15,1787122800.0,no,yes,50,49,True,False,False,False,False,49
KXBTC15M-26AUG190345-45,1787124600.0,no,yes,62,61,True,False,True,True,False,51
KXBTC15M-26AUG190400-00,1787125500.0,no,no,50,49,True,True,True,False,False,48
KXBTC15M-26AUG190415-15,1787126400.0,yes,no,43,42,True,False,False,False,False,42
KXBTC15M-26AUG190430-30,1787127300.0,yes,yes,52,51,True,True,True,False,False,50
KXBTC15M-26AUG190445-45,1787128200.0,no,yes,46,45,True,False,True,True,True,35
KXBTC15M-26AUG190500-00,1787129100.0,no,no,51,50,True,True,True,True,True,30
KXBTC15M-26AUG190515-15,1787130000.0,yes,no,47,46,True,False,True,True,True,43
KXBTC15M-26AUG190545-45,1787131800.0,yes,no,54,53,True,False,True,True,True,41
KXBTC15M-26AUG190600-00,1787132700.0,yes,yes,58,57,False,True,False,False,False,57
KXBTC15M-26AUG190615-15,1787133600.0,no,no,50,49,False,True,True,True,False,47
KXBTC15M-26AUG190645-45,1787135400.0,no,yes,51,50,True,False,True,False,False,49
KXBTC15M-26AUG190700-00,1787136300.0,no,yes,58,57,True,False,True,False,False,56
KXBTC15M-26AUG190715-15,1787137200.0,no,yes,58,57,True,False,True,True,True,45
KXBTC15M-26AUG190730-30,1787138100.0,no,yes,52,51,True,False,False,False,False,51
KXBTC15M-26AUG190745-45,1787139000.0,no,no,50,49,True,True,True,True,False,46
KXBTC15M-26AUG190800-00,1787139900.0,yes,yes,61,60,False,True,True,False,False,59
KXBTC15M-26AUG190815-15,1787140800.0,no,no,53,52,False,True,False,False,False,52
KXBTC15M-26AUG190845-45,1787142600.0,yes,yes,66,65,True,True,True,True,True,41
KXBTC15M-26AUG190900-00,1787143500.0,no,no,44,43,True,True,True,True,True,29
KXBTC15M-26AUG190915-15,1787144400.0,yes,yes,49,48,True,True,True,True,True,23
KXBTC15M-26AUG190930-30,1787145300.0,no,yes,54,53,True,False,False,False,False,53
KXBTC15M-26AUG190945-45,1787146200.0,no,yes,63,62,True,False,True,True,True,37
KXBTC15M-26AUG191000-00,1787147100.0,no,no,59,58,True,True,True,True,False,55
KXBTC15M-26AUG191015-15,1787148000.0,yes,yes,59,58,False,True,True,True,False,55
KXBTC15M-26AUG191030-30,1787148900.0,no,yes,42,41,True,False,True,True,True,35
KXBTC15M-26AUG191045-45,1787149800.0,no,yes,61,60,True,False,True,True,False,56
KXBTC15M-26AUG191100-00,1787150700.0,no,yes,52,51,True,False,True,True,True,39
KXBTC15M-26AUG191130-30,1787152500.0,no,yes,55,54,True,False,True,True,True,38
KXBTC15M-26AUG191145-45,1787153400.0,no,yes,62,61,True,False,False,False,False,61
KXBTC15M-26AUG191200-00,1787154300.0,no,no,49,48,False,True,False,False,False,48
KXBTC15M-26AUG191215-15,1787155200.0,yes,yes,59,58,False,True,False,False,False,58
KXBTC15M-26AUG191230-30,1787156100.0,no,yes,51,50,True,False,True,True,True,34
KXBTC15M-26AUG191300-00,1787157900.0,yes,no,51,50,True,False,False,False,False,50
KXBTC15M-26AUG191315-15,1787158800.0,yes,no,52,51,True,False,True,True,False,48
KXBTC15M-26AUG191330-30,1787159700.0,yes,no,50,49,True,False,False,False,False,49
KXBTC15M-26AUG191345-45,1787160600.0,yes,yes,55,54,True,True,True,False,False,53
KXBTC15M-26AUG191400-00,1787161500.0,no,yes,48,47,True,False,True,True,True,20
KXBTC15M-26AUG191415-15,1787162400.0,no,no,46,45,True,True,False,False,False,45
