Ticker,Market,Name,Final position,Side,Total cost,Total return ($),Total return (%),Last updated
KXBTC15M-26JUL240200-00,BTC price up in next 15 mins?,"Target Price: $65,250.67",,,6.03,-5.21,-86.40,2026-07-24T06:00:05.988569Z
KXBTC15M-26JUL240145-45,BTC price up in next 15 mins?,"Target Price: $65,286.98",,,6.05,-4.62,-76.36,2026-07-24T05:45:06.030705Z
KXBTC15M-26JUL240115-15,BTC price up in next 15 mins?,"Target Price: $65,237.70",9,Yes,3.00,6.00,200.00,2026-07-24T05:15:06.033526Z
KXBTC15M-26JUL240100-00,BTC price up in next 15 mins?,"Target Price: $65,291.13",,,6.04,-4.85,-80.30,2026-07-24T05:00:06.041319Z
KXBTC15M-26JUL240030-30,BTC price up in next 15 mins?,"Target Price: $65,349.84",30,Yes,5.92,24.08,406.76,2026-07-24T04:30:06.046826Z
KXBTC15M-26JUL240000-00,BTC price up in next 15 mins?,"Target Price: $65,351.51",,,6.05,-4.51,-74.55,2026-07-24T04:00:05.99238Z
KXBTC15M-26JUL232345-45,BTC price up in next 15 mins?,"Target Price: $65,290.34",,,6.01,-5.60,-93.18,2026-07-24T03:45:06.04706Z
KXBTC15M-26JUL232330-30,BTC price up in next 15 mins?,"Target Price: $65,266.32",,,5.45,-4.14,-75.96,2026-07-24T03:30:05.996945Z
KXBTC15M-26JUL232315-15,BTC price up in next 15 mins?,"Target Price: $65,057.99",,,6.05,-4.57,-75.54,2026-07-24T03:15:06.045301Z
KXBTC15M-26JUL232300-00,BTC price up in next 15 mins?,"Target Price: $65,012.14",30,Yes,6.00,24.00,400.00,2026-07-24T03:00:06.044624Z
KXBTC15M-26JUL232245-45,BTC price up in next 15 mins?,"Target Price: $65,088.12",,,6.07,-4.67,-76.94,2026-07-24T02:45:06.036885Z
KXBTC15M-26JUL232215-15,BTC price up in next 15 mins?,"Target Price: $65,039.49",3,Yes,1.20,1.80,150.00,2026-07-24T02:15:06.046767Z
KXBTC15M-26JUL232200-00,BTC price up in next 15 mins?,"Target Price: $65,068.14",3,No,1.20,1.80,150.00,2026-07-24T02:00:06.046178Z
KXBTC15M-26JUL232145-45,BTC price up in next 15 mins?,"Target Price: $65,045.16",,,6.04,-4.82,-79.80,2026-07-24T01:45:06.046871Z
KXBTC15M-26JUL232130-30,BTC price up in next 15 mins?,"Target Price: $65,003.84",,,6.05,-4.62,-76.36,2026-07-24T01:30:06.045688Z
KXBTC15M-26JUL232115-15,BTC price up in next 15 mins?,"Target Price: $64,924.15",,,6.04,-4.79,-79.30,2026-07-24T01:15:06.041339Z
KXBTC15M-26JUL232045-45,BTC price up in next 15 mins?,"Target Price: $64,839.26",,,6.05,-4.74,-78.35,2026-07-24T00:45:06.037995Z
KXBTC15M-26JUL232030-30,BTC price up in next 15 mins?,"Target Price: $64,889.62",,,6.06,-4.34,-71.62,2026-07-24T00:30:06.09252Z
KXBTC15M-26JUL232015-15,BTC price up in next 15 mins?,"Target Price: $65,054.34",,,6.05,-4.54,-75.04,2026-07-24T00:15:06.038973Z
KXBTC15M-26JUL231945-45,BTC price up in next 15 mins?,"Target Price: $65,121.17",9,Yes,3.00,6.00,200.00,2026-07-23T23:45:06.047933Z
KXBTC15M-26JUL231930-30,BTC price up in next 15 mins?,"Target Price: $65,134.31",,,6.03,-5.07,-84.08,2026-07-23T23:30:06.045423Z
KXBTC15M-26JUL231915-15,BTC price up in next 15 mins?,"Target Price: $65,148.85",30,Yes,6.00,-6.00,-100.00,2026-07-23T23:15:06.043254Z
KXBTC15M-26JUL231845-45,BTC price up in next 15 mins?,"Target Price: $65,108.79",,,5.98,-4.58,-76.59,2026-07-23T22:45:06.043994Z
KXBTC15M-26JUL231830-30,BTC price up in next 15 mins?,"Target Price: $65,050.02",18,Yes,4.80,13.20,275.00,2026-07-23T22:30:06.038189Z
KXBTC15M-26JUL231815-15,BTC price up in next 15 mins?,"Target Price: $65,105.92",30,No,5.97,23.98,401.68,2026-07-23T22:15:06.036526Z
KXBTC15M-26JUL231745-45,BTC price up in next 15 mins?,"Target Price: $65,074.35",18,No,4.80,13.20,275.00,2026-07-23T21:45:06.041381Z
KXBTC15M-26JUL231730-30,BTC price up in next 15 mins?,"Target Price: $65,007.10",9,Yes,3.00,6.00,200.00,2026-07-23T21:30:06.043532Z
KXBTC15M-26JUL231715-15,BTC price up in next 15 mins?,"Target Price: $65,099.79",18,No,4.80,13.20,275.00,2026-07-23T21:15:06.087109Z
KXBTC15M-26JUL231700-00,BTC price up in next 15 mins?,"Target Price: $65,084.53",3,Yes,1.20,1.80,150.00,2026-07-23T21:00:06.093598Z
KXBTC15M-26JUL231630-30,BTC price up in next 15 mins?,"Target Price: $64,994.56",,,6.05,-4.54,-75.04,2026-07-23T20:30:06.032494Z
KXBTC15M-26JUL231615-15,BTC price up in next 15 mins?,"Target Price: $64,791.74",,,5.96,-4.38,-73.49,2026-07-23T20:15:06.035617Z
