timestamp,market_ticker,market_close_time,shadow_balance_before,shadow_market_pnl,shadow_realized_pnl,shadow_balance_change,shadow_balance_after,shadow_selected_side,shadow_eligible,shadow_skip_reason,shadow_contracts,shadow_average_entry,shadow_cost,shadow_proceeds,shadow_payout,shadow_fees,shadow_exit_method,shadow_fill_model,shadow_simulation_quality,live_execution_enabled,completed_at
2026-08-02T22:50:59.529018+00:00,KXBTC15M-26AUG021845-45,2026-08-02T22:50:59.464148+00:00,37.817015,-4.77000,-4.77000,-4.77000,33.047015,yes,True,,30.00,0.2,6.000,1.23000,0,0,absolute_stop,conservative_trade_through,conservative_approximation,True,2026-08-02T22:50:59.529025+00:00
2026-08-02T23:06:35.646495+00:00,KXBTC15M-26AUG021900-00,2026-08-02T23:06:35.580625+00:00,33.047015,0,0,0,33.047015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T23:06:35.646503+00:00
2026-08-02T23:21:05.621908+00:00,KXBTC15M-26AUG021915-15,2026-08-02T23:21:05.556825+00:00,33.047015,0,0,0,33.047015,yes,False,shadow_two_consecutive_completed_losses,0,,0,0,0,0,settlement,conservative_trade_through,unavailable,True,2026-08-02T23:21:05.621914+00:00
2026-08-02T23:36:02.151372+00:00,KXBTC15M-26AUG021930-30,2026-08-02T23:36:02.084397+00:00,33.047015,0,0,0,33.047015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-02T23:36:02.151379+00:00
2026-08-02T23:50:53.935301+00:00,KXBTC15M-26AUG021945-45,2026-08-02T23:50:53.867713+00:00,33.047015,13.20,13.20,13.20,46.247015,no,True,,18.0,0.2666666666666666666666666667,4.80,0,18.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-02T23:50:53.935307+00:00
2026-08-03T00:06:01.142480+00:00,KXBTC15M-26AUG022000-00,2026-08-03T00:06:01.083515+00:00,46.247015,6.00,6.00,6.00,52.247015,yes,True,,9.0,0.3333333333333333333333333333,3.00,0,9.0,0,settlement,conservative_trade_through,conservative_approximation,True,2026-08-03T00:06:01.142487+00:00
2026-08-03T00:20:58.766192+00:00,KXBTC15M-26AUG022015-15,2026-08-03T00:20:58.707965+00:00,52.247015,0,0,0,52.247015,no,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T00:20:58.766199+00:00
2026-08-03T00:36:00.643973+00:00,KXBTC15M-26AUG022030-30,2026-08-03T00:36:00.588455+00:00,52.247015,-4.500,-4.500,-4.500,47.747015,yes,True,,30.0,0.2,6.00,1.500,0,0,absolute_stop,conservative_trade_through,conservative_approximation,False,2026-08-03T00:36:00.643979+00:00
2026-08-03T00:51:04.877907+00:00,KXBTC15M-26AUG022045-45,2026-08-03T00:51:04.813238+00:00,47.747015,0,0,0,47.747015,yes,True,,0,,0,0,0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T00:51:04.877912+00:00
2026-08-03T01:05:53.336384+00:00,KXBTC15M-26AUG022100-00,2026-08-03T01:05:53.280669+00:00,47.747015,1.80,1.80,1.80,49.547015,no,True,,3.0,0.4,1.20,0,3.0,0,settlement,conservative_trade_through,conservative_approximation,False,2026-08-03T01:05:53.336391+00:00
